Video Time;Neutral;Happy;Sad;Angry;Surprised;Scared;Disgusted;Contempt;Valence;Arousal
02:42,4;0,6756365;0,04009013;0,0874863;0,006332768;0;0,01632636;0,003193025;0,3367032;-0,04739617;0,0938059
02:42,5;0,6790544;0,0410158;0,08687479;0,00611119;0;0,01339742;0,003070075;0,3517808;-0,04585899;0,09144283
02:42,6;0,6825665;0,04228131;0,08668896;0,005953823;0;0,01099394;0,002972591;0,361759;-0,04440765;0,08977185
02:42,6;0,687732;0,04438306;0,08842758;0,005668834;0;0,009021635;0,002892538;0,3802391;-0,04404452;0,08872191
02:42,7;0,6933346;0,04658833;0,09126584;0,005324541;0;0,007403163;0,002792001;0,3788463;-0,04467751;0,08872191
02:42,8;0,6979613;0,04828657;0,09338161;0,004837074;0;0,006075043;0,002748454;0,3957411;-0,04509504;0,08872191
02:42,8;0,697955;0,04942911;0,1004199;0,004330303;0;0,004985186;0,002726478;0,4013617;-0,05099076;0,08812553
02:42,9;0,6941862;0,04998191;0,1112998;0,00384637;0;0,004090849;0,002647846;0,4043498;-0,06131789;0,08800771
02:43,0;0,6903703;0,05070236;0,1189402;0,003638499;0;0,003356955;0,002638741;0,38496;-0,0682378;0,08800771
02:43,0;0,6886202;0,05103335;0,1235106;0,003517457;0;0,002754721;0,002618324;0,3520157;-0,07247723;0,09633168
02:43,1;0,6884823;0,05137294;0,1258838;0,00360384;0;0,002260527;0,002637147;0,3364596;-0,07451087;0,1058162
02:43,2;0,6906919;0,05111021;0,1266129;0,0037566;0;0,001854991;0,002671286;0,3238167;-0,07550269;0,1156935
02:43,2;0,6930983;0,05063373;0,127609;0,003830926;0;0,001522207;0,002704208;0,3053188;-0,07697532;0,1255253
02:43,3;0,6956812;0,05040019;0,1284977;0,003964064;0;0,001249124;0,00276682;0,3013842;-0,07809748;0,1350057
02:43,4;0,7005351;0,04979657;0,1256878;0,004068627;0;0,001025033;0,002835786;0,3061406;-0,07589123;0,1439986
02:43,4;0,7040618;0,04915447;0,1238712;0,004154286;0;0,000841143;0,002900453;0,2924719;-0,07471669;0,1524542
02:43,5;0,7067986;0,04814562;0,1240193;0,00421313;0;0,000690243;0,002940072;0,3009464;-0,0758737;0,16033
02:43,5;0,7104871;0,04724768;0,1224005;0,004031278;0;0,000566414;0,002960519;0,3160174;-0,07515284;0,1737311
02:43,6;0,7121813;0,04619214;0,1234275;0,003720825;0;0,0004648;0,002950737;0,3164067;-0,07723534;0,1834161
02:43,7;0,7140891;0,04538388;0,1251199;0,003696275;0;0,000381415;0,002919327;0,3331074;-0,07973596;0,2033117
02:43,7;0,7158421;0,04487254;0,1264576;0,003782085;0;0,00031299;0,002888576;0,3401616;-0,08158509;0,2159262
02:43,8;0,7157028;0,04424864;0,130301;0,003882933;0;0,00025684;0,002850566;0,3345006;-0,08605234;0,236627
02:43,9;0,7134378;0,04361708;0,1387198;0,004078883;0;0,000210763;0,002746888;0,3203539;-0,09510276;0,2487771
02:43,9;0,713623;0,04368344;0,1434496;0,00446141;0;0,000172952;0,002639384;0,3184005;-0,09976618;0,2555963
02:44,0;0,7116423;0,04377132;0,1506631;0,004726815;0;0,000141925;0,002514918;0,2988359;-0,1068918;0,2555963
02:44,1;0,7073599;0,04381179;0,1600706;0,004845784;0;0,000116464;0,002406479;0,2971506;-0,1162588;0,2533036
02:44,1;0,7057688;0,04408811;0,1633623;0,004808019;0;0,00009557;0,002348519;0,2918581;-0,1192742;0,250071
02:44,2;0,7063426;0,04452307;0,1635886;0,00456727;0;0,000078425;0,002337369;0,288516;-0,1190655;0,2483079
02:44,3;0,7053431;0,04439316;0,1686602;0,004293514;0;0,000064356;0,00229784;0,3142336;-0,124267;0,2467117
02:44,3;0,7043618;0,044968;0,1740378;0,004181907;0;0,00005281;0,002267673;0,34215;-0,1290698;0,2452699
02:44,4;0,7036695;0,04567546;0,1803992;0,004110118;0;0,000043336;0,002227617;0,3603103;-0,1347238;0,243971
02:44,5;0,7048731;0,04613217;0,1854748;0,004160845;0;0,000035562;0,002179907;0,387021;-0,1393426;0,2430376
02:44,5;0,7083754;0,04620383;0,1880337;0,004097601;0;0,000029182;0,002104236;0,4114933;-0,1418299;0,2426964
