add device 1: /dev/input/event11
  name:     "rt5648-audio Intel MID Audio Jack"
add device 2: /dev/input/event10
  name:     "headset_dev"
add device 3: /dev/input/event9
  name:     "headset_dev"
add device 4: /dev/input/event8
  name:     "headset_dev"
add device 5: /dev/input/event7
  name:     "headset_dev"
add device 6: /dev/input/event6
  name:     "headset_dev"
add device 7: /dev/input/event2
  name:     "mid_powerbtn"
add device 8: /dev/input/event1
  name:     "gpio-keys"
add device 9: /dev/input/event5
  name:     "headset_dev"
add device 10: /dev/input/event4
  name:     "headset_dev"
add device 11: /dev/input/event3
  name:     "goodix-touchscreen"
add device 12: /dev/input/event0
  name:     "lid_input"
[   10379.082986] /dev/input/event3: EV_KEY       BTN_TOUCH            DOWN                
[   10379.082986] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    000001ca            
[   10379.082986] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    000003b0            
[   10379.082986] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.082986] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.082986] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.082986] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.082986] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.094776] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    000001ca            
[   10379.094776] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    000003b0            
[   10379.094776] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.094776] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.094776] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.094776] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.094776] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.107407] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    000001ca            
[   10379.107407] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    000003b0            
[   10379.107407] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.107407] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.107407] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.107407] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.107407] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.118857] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    000001ca            
[   10379.118857] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    000003b0            
[   10379.118857] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.118857] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.118857] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.118857] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.118857] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.130941] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    000001c0            
[   10379.130941] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    000003a6            
[   10379.130941] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.130941] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.130941] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.130941] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.130941] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.143508] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    000001af            
[   10379.143508] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    00000398            
[   10379.143508] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.143508] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.143508] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.143508] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.143508] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.155367] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    00000198            
[   10379.155367] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    00000385            
[   10379.155367] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.155367] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.155367] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.155367] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.155367] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.167255] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    00000183            
[   10379.167255] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    00000373            
[   10379.167255] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.167255] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.167255] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.167255] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.167255] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.179587] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    00000169            
[   10379.179587] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    0000035f            
[   10379.179587] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.179587] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.179587] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.179587] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.179587] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.191743] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    0000014d            
[   10379.191743] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    00000347            
[   10379.191743] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.191743] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.191743] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.191743] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.191743] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.203821] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    0000012d            
[   10379.203821] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    0000032e            
[   10379.203821] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.203821] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.203821] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.203821] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.203821] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.216139] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    00000111            
[   10379.216139] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    00000311            
[   10379.216139] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.216139] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.216139] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.216139] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.216139] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.228493] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    000000f7            
[   10379.228493] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    000002f5            
[   10379.228493] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.228493] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.228493] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.228493] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.228493] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.240253] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    000000e0            
[   10379.240253] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    000002db            
[   10379.240253] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.240253] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.240253] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.240253] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.240253] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.252526] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    000000cc            
[   10379.252526] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    000002c6            
[   10379.252526] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.252526] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.252526] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.252526] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.252526] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.264799] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    000000bd            
[   10379.264799] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    000002b4            
[   10379.264799] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.264799] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.264799] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.264799] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.264799] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.277109] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    000000b3            
[   10379.277109] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    000002aa            
[   10379.277109] /dev/input/event3: EV_ABS       ABS_MT_TOUCH_MAJOR   00000026            
[   10379.277109] /dev/input/event3: EV_ABS       ABS_MT_WIDTH_MAJOR   00000026            
[   10379.277109] /dev/input/event3: EV_ABS       ABS_MT_TRACKING_ID   00000000            
[   10379.277109] /dev/input/event3: EV_SYN       SYN_MT_REPORT        00000000            
[   10379.277109] /dev/input/event3: EV_SYN       SYN_REPORT           00000000            
[   10379.288963] /dev/input/event3: EV_ABS       ABS_MT_POSITION_X    000000ab            
[   10379.288963] /dev/input/event3: EV_ABS       ABS_MT_POSITION_Y    000002a1            
